Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,class
,97,77,83,94,96,89,66,90,67,73,92,100,96,79,69,63,86,68,9
,98,68,79,104,97,97,60,91,68,90,92,102,80,79,72,54,87,68,9
,60,66,64,81,91,110,84,91,69,83,89,99,48,86,72,73,83,70,9
,40,89,34,56,86,115,100,92,67,63,91,100,71,81,62,97,76,67,9
,88,80,59,81,94,108,72,87,49,71,89,98,95,68,44,67,89,67,9
,102,80,65,103,90,110,63,90,69,88,91,103,62,66,71,60,84,68,9
,49,80,67,55,91,98,96,86,69,80,93,100,43,73,76,105,86,65,9
,57,84,67,65,88,103,88,89,76,67,91,97,73,76,88,92,87,67,9
,100,83,68,97,88,101,54,85,88,83,90,100,87,84,96,54,85,70,9
,82,81,69,81,86,96,68,83,90,86,91,103,65,82,89,66,86,68,9
,49,80,67,51,86,99,96,84,85,76,91,100,53,76,84,105,88,68,9
,63,83,67,71,94,101,80,91,73,67,92,99,75,71,77,98,85,65,9
,92,81,67,90,92,99,74,91,61,71,92,99,91,68,63,76,85,66,9
,103,84,67,103,92,100,63,86,61,89,92,97,72,83,43,54,84,71,9
,66,87,60,76,96,106,88,88,49,83,93,103,49,76,63,102,78,69,9
,56,71,47,70,107,136,85,84,83,67,89,100,82,82,65,85,89,58,9
,97,68,54,115,95,111,56,91,68,89,93,99,91,77,70,54,86,69,9
,79,71,75,92,96,99,67,89,60,88,92,99,71,78,60,57,84,67,9
,48,79,94,70,92,83,86,86,71,81,91,99,49,84,69,87,86,74,9
,47,88,96,60,88,77,96,80,76,63,91,102,66,78,71,101,84,65,9
,99,83,86,89,89,79,66,86,68,73,91,102,97,78,71,70,84,67,9
,100,76,84,102,91,87,63,88,70,88,91,100,71,81,69,58,87,68,9
,48,70,78,67,96,102,92,95,68,78,90,101,50,83,68,101,85,68,9
,46,62,64,67,94,112,96,89,69,64,88,97,72,85,68,99,84,71,9
,82,115,23,87,88,129,55,88,64,78,94,103,95,76,51,48,76,70,9
,112,88,76,93,76,86,63,82,42,89,92,103,63,62,57,57,95,60,9
,53,83,68,47,89,97,98,88,67,79,92,99,38,69,66,101,88,67,9
,54,83,68,62,91,101,92,88,72,66,91,99,65,69,77,99,87,66,9
,99,84,67,92,89,101,60,89,86,76,91,99,90,84,94,60,87,71,9
,103,83,68,98,87,93,63,85,86,88,92,99,85,95,95,55,87,73,9
,66,78,68,70,83,96,78,83,94,82,92,102,61,83,91,76,85,65,9
,43,83,68,51,88,98,98,88,82,70,91,101,57,73,85,103,88,66,9
,77,84,67,79,91,101,76,90,67,69,92,99,73,68,74,92,88,68,9
,102,83,67,105,91,101,59,86,51,91,93,96,78,60,63,54,86,71,9
,85,87,67,87,96,103,71,80,56,86,91,97,52,74,59,63,82,69,9
,47,79,28,60,105,123,96,97,55,63,88,100,59,80,74,100,86,67,9
,79,74,64,90,93,100,76,97,61,71,92,104,97,77,64,53,85,69,9
,94,67,64,103,97,101,67,87,67,90,92,97,76,79,65,55,87,69,9
,53,72,71,78,96,96,79,88,70,83,91,99,51,82,76,71,83,69,9
,42,81,98,58,88,77,102,92,71,63,89,99,62,80,74,100,84,70,9
,87,88,99,85,86,73,74,82,73,71,92,102,94,78,68,74,83,65,9
,106,81,85,102,89,81,57,88,70,89,92,102,73,78,70,56,88,67,9
,56,74,79,70,96,92,83,93,65,82,90,101,48,83,70,74,87,67,9
,40,68,64,59,93,111,102,92,67,63,91,98,62,87,71,103,86,70,9
,71,67,53,83,90,120,75,88,68,71,91,97,103,83,69,60,81,68,9
,97,96,39,100,94,128,61,88,60,90,94,102,75,80,40,55,79,72,9
,61,86,76,65,86,91,88,86,40,82,92,108,44,52,65,98,87,60,9
,51,79,70,60,92,98,97,88,58,65,94,99,43,71,65,103,86,67,9
,87,84,69,88,94,100,67,92,76,75,92,97,92,72,77,76,85,67,9
,103,86,70,105,91,98,64,87,87,89,91,98,76,80,90,55,89,71,9
,64,81,70,71,88,95,82,88,93,80,89,103,51,83,93,80,87,69,9
,45,77,68,54,86,100,97,81,92,63,90,103,69,85,85,102,85,69,9
,92,85,69,88,90,97,66,89,86,72,90,103,99,79,82,76,88,68,9
,104,84,68,103,92,101,70,94,71,86,91,101,60,69,74,65,89,66,9
,51,84,68,61,91,99,94,92,56,81,92,99,39,63,60,79,86,67,9
,49,88,68,57,95,99,102,84,51,64,92,96,44,65,39,102,83,70,9
,80,87,40,83,99,116,72,92,58,71,90,100,91,79,67,64,81,76,9
,103,71,69,103,83,115,69,103,61,86,91,112,60,80,64,63,86,67,9
,36,63,72,51,91,97,110,85,67,67,93,97,54,79,66,103,87,68,9
,54,76,75,72,95,94,87,95,70,67,91,96,78,86,77,92,86,70,9
,96,83,93,105,90,83,57,87,71,80,89,100,94,76,71,50,84,69,9
,89,87,93,89,88,75,64,82,69,87,92,104,63,77,69,62,85,66,9
,52,80,84,61,92,81,88,87,70,78,92,101,49,82,72,102,86,67,9
,54,75,80,68,95,91,92,91,65,64,91,99,68,81,68,100,85,66,9
,90,68,69,95,96,105,65,92,68,73,92,100,98,81,70,50,87,67,9
,91,70,58,103,92,114,66,92,67,89,92,95,78,85,70,55,82,72,9
,58,97,38,74,96,128,96,88,68,80,92,100,54,74,64,103,79,68,9
,65,88,71,66,84,96,94,86,43,65,90,100,70,77,65,94,90,61,9
,94,76,67,85,85,99,70,88,64,71,92,101,96,70,62,56,83,67,9
,97,81,68,96,91,102,60,87,69,90,93,99,76,71,75,53,84,67,9
,60,85,68,71,89,98,84,89,82,82,89,97,52,81,96,73,86,71,9
,48,83,69,56,88,98,102,84,91,66,89,101,63,82,96,101,84,70,9
,84,76,68,84,86,98,71,82,91,71,89,104,94,82,87,78,85,68,9
,100,84,69,101,90,99,57,88,83,88,89,102,76,76,81,56,83,65,9
,60,85,70,70,91,99,84,92,67,80,92,101,44,67,67,74,86,67,9
,49,84,68,56,90,97,104,88,56,65,92,100,49,61,62,103,87,68,9
,82,89,68,81,96,100,70,80,56,71,92,97,89,80,24,79,77,68,9
,106,81,35,108,96,122,57,91,73,90,90,98,80,79,79,49,85,73,9
,62,66,76,78,87,101,88,101,54,77,91,104,50,76,66,104,85,68,9
,49,66,73,66,96,103,92,87,70,67,92,100,81,78,65,89,87,67,9
,96,75,73,108,95,92,55,91,68,86,91,98,91,82,75,51,85,70,9
,88,80,89,97,92,83,65,89,72,88,91,99,76,80,72,56,87,69,9
,56,84,91,71,91,79,84,83,72,81,93,103,49,76,69,88,86,66,9
,49,81,83,58,92,80,96,86,70,67,92,102,60,80,72,102,86,67,9
,83,75,81,87,95,87,76,90,68,69,90,100,99,80,70,82,87,67,9
,96,68,71,107,95,101,60,90,68,89,92,99,89,80,69,54,86,67,9
,70,67,57,86,96,115,79,95,70,84,92,96,63,84,71,65,83,73,9
,39,91,37,59,96,124,105,89,65,64,92,102,62,75,51,99,76,69,9
