@relation EXAMPLE1

@attribute M_LC_Z numeric
@attribute M_LC_Y numeric
@attribute M_LC_X numeric
@attribute M_LT_Z numeric
@attribute M_LT_Y numeric
@attribute M_LT_X numeric
@attribute M_RT_Z numeric
@attribute M_RT_Y numeric
@attribute M_RT_X numeric
@attribute M_C_Z numeric
@attribute M_C_Y numeric
@attribute M_C_X numeric
@attribute M_RC_Z numeric
@attribute M_RC_Y numeric
@attribute M_RC_X numeric
@attribute M_S_Z numeric
@attribute M_S_Y numeric
@attribute M_S_X numeric
@attribute SD_LC_Z numeric
@attribute SD_LC_Y numeric
@attribute SD_LC_X numeric
@attribute SD_LT_Z numeric
@attribute SD_LT_Y numeric
@attribute SD_LT_X numeric
@attribute SD_RT_Z numeric
@attribute SD_RT_Y numeric
@attribute SD_RT_X numeric
@attribute SD_C_Z numeric
@attribute SD_C_Y numeric
@attribute SD_C_X numeric
@attribute SD_RC_Z numeric
@attribute SD_RC_Y numeric
@attribute SD_RC_X numeric
@attribute SD_S_Z numeric
@attribute SD_S_Y numeric
@attribute SD_S_X numeric
@attribute PERSON {P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13}
@attribute LABLE {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
79.774026,91.701299,71.805195,81.368831,93.875325,107.205195,80.581818,88.823377,73.45974,54.992208,66.963636,75.420779,78.867532,91.064935,72.903896,75.602597,82.064935,77.716883,21.064609,2.833313,0.819232,17.730568,3.432471,1.736386,15.518039,2.909005,1.648002,11.110657,5.382389,2.537937,17.120372,8.057807,3.6165,20.506457,3.832661,2.215729,P2,7
77.035831,84.872964,74.143322,83.635179,95.837134,106.534202,84.104235,95.576547,73.791531,62.869707,73.302932,80.925081,73.19544,81.970684,75.120521,78.084691,88.078176,71.872964,22.102854,8.252933,11.333513,18.607128,5.568015,9.538264,17.055635,6.008938,9.292682,9.702209,3.962704,4.166438,18.179191,10.271674,9.670894,21.076547,2.965669,3.091464,P2,8
78.046263,86.067616,74.590747,85.985765,98.580071,107.797153,86.05694,97.825623,76.096085,63.839858,74.206406,81.548043,73.145907,82.637011,76.978648,81.113879,91.170819,72.587189,22.082859,8.895942,15.379185,19.244627,6.629077,13.057148,17.515127,9.494418,15.457945,9.243598,2.440778,4.788629,17.769282,9.423786,13.644426,21.722478,3.628574,4.652369,P2,9
76.313953,84.162791,73.151163,81.875,93.372093,108.25,80.180233,89.758721,73.142442,62.287791,73.299419,80.40407,72.549419,81.107558,76.136628,79.686047,89.47093,72.604651,22.530605,10.069942,8.762722,19.470881,8.841033,6.226,16.977141,5.417718,4.458471,10.159557,1.820554,2.486495,19.096539,10.141301,7.383707,21.479174,1.974922,2.467364,P2,10
77.702614,85.454248,75.277778,89.75817,103.957516,102.80719,91.506536,106.424837,86.862745,59.941176,70.970588,82.055556,73.633987,82.48366,76.271242,77.594771,85.539216,74.084967,21.800637,5.449669,4.957133,19.409763,8.73997,6.717849,19.185071,14.659175,15.484362,10.53673,4.54201,9.312311,18.295773,6.399657,4.989036,22.091887,6.326629,8.305402,P2,11
77.384615,84.898462,75.08,86.984615,100.276923,107.766154,86.464615,98.6,72.892308,56.775385,68.147692,82.24,75.070769,83.744615,76.609231,73.855385,81.273846,75.181538,21.799712,7.73596,6.139386,18.93218,4.824003,4.976322,16.650141,4.711361,5.225155,10.374911,3.841839,3.365563,18.947813,11.851362,5.854485,20.967242,2.955375,4.45293,P2,12
74.166667,80.558201,79.39418,90.563492,69.81746,107.455027,81.835979,105.476191,84.208995,53.529101,33.949735,60.57672,69.944444,90.73545,83.939153,69.76455,89.730159,76.820106,11.306048,18.524917,6.838706,13.503769,28.064759,3.797707,4.568071,9.996598,7.006514,6.619312,8.408871,6.851848,3.205416,4.460747,5.65255,2.699228,5.155384,3.214454,P2,13
79.024725,88.983516,72.167582,81.71978,94.002747,107.733517,81.936813,91.321429,73.881868,65.645604,76.686813,79.021978,77.082418,88.159341,73.42033,82.403846,93.145604,72.335165,21.832578,0.339283,0.38078,18.37711,0.395709,0.448291,16.204865,0.484351,0.450642,8.428315,1.614067,0.295684,17.699842,1.100397,0.846274,21.25135,0.709595,0.472048,P2,14
83.566572,91.818697,75.733711,100.385269,117.501416,102.016997,96.699717,113.337111,88.76204,65.501416,77.654391,81.747875,78.388102,90.113314,78.203966,90.784703,103.96034,77.356941,20.93851,1.680075,1.302611,17.049636,1.957226,1.617799,15.050074,2.262444,1.709838,7.871534,6.666018,2.120025,20.019667,2.272802,1.7791,22.917368,1.835628,1.33277,P2,15
97.574675,114.902597,91.967532,101.178571,120.86039,97.493506,99.587662,116.775974,95.165584,69.967532,85.090909,64.038961,94.25,114.090909,95.529221,98.727273,115.785714,94.438312,21.846816,0.466675,0.330659,18.619845,0.637051,0.555337,16.250538,0.832658,0.630798,6.961787,2.496396,0.264406,15.333283,0.942252,0.782804,18.810495,0.591765,0.551939,P2,16
71.959716,92.395735,77.758294,88.317536,113.881517,100.945498,85.582938,111.772512,92.267773,63.011848,34.853081,71.376777,72.661137,94.618483,81.165877,76.085308,98.670616,76.526066,1.740455,2.33808,3.683364,3.730066,5.189325,2.961741,1.80481,3.018176,3.432746,6.256549,11.298921,4.934906,1.932843,2.598567,5.940142,1.956233,3.344096,4.243538,P2,17
68.736264,87.802198,76.5,75.453297,98.241758,111.648352,73.623626,96.758242,75.505495,60.78022,76.046703,82.925824,67.107143,86.585165,76.395604,72.656593,93.60989,75.335165,3.365419,6.819042,7.420457,4.905202,8.57301,5.84107,3.881995,6.658203,6.797501,1.693895,1.904453,2.950599,4.061621,7.200878,6.994313,2.015104,3.014892,3.481943,P3,1
61.819444,78.59375,78.722222,74.996528,97.256944,115.815972,74.440972,98.083333,76.114583,58.395833,47.565972,74.65625,62.430556,80.017361,81.385417,71.75,93.142361,77.270833,12.874745,23.051984,20.251524,10.994474,21.575367,23.529329,13.754418,24.51346,25.564951,11.435033,19.690553,15.820496,13.492618,22.445529,23.282849,4.402493,8.090882,23.465317,P3,2
57.437811,72.487562,75.651741,67.771144,88.437811,121.094527,71.721393,95.338308,71.109453,57.771144,46.885572,73.004975,59.084577,75.358209,81.835821,72.751244,93.353234,76.223881,18.188547,33.500146,32.295096,17.486523,32.824687,35.470905,17.461884,31.017648,36.734058,10.602138,17.981523,15.310224,17.721668,30.522173,32.578843,6.214876,12.281102,27.30106,P3,3
80.950704,91.992958,76.225352,85.661972,99.242958,111.183099,88.102113,99.788732,77.859155,63.457746,30.341549,70.538732,80.253521,94.975352,81.084507,84.93662,96.887324,76.408451,23.599304,1.908087,0.508995,20.276222,2.007237,1.245384,17.709713,3.086388,0.831523,4.530217,4.879488,3.159255,19.415014,1.621627,0.50341,21.700495,1.852287,1.059198,P3,4
